pdb_id,chain_a,chain_b,molecule_a,molecule_b
1DZI,A,B,INTEGRIN,COLLAGEN
9VB8,A,B,Integrin alpha-2,Collagen model peptide
3G9W,A,C,Talin-2,Integrin beta-1D
4WJK,A,B,Integrin alpha-5,Integrin beta-1
8W30,A,B,Integrin alpha-V heavy chain,Integrin beta-1
8TEC,A,C,Fermitin family homolog 2,Integrin beta-1
8TEE,A,C,Fermitin family homolog 2,Integrin beta-1
3EJH,A,E,Fibronectin,Collagen type-I a1 chain
1UKM,A,B,EMS16 A chain,EMS16 B chain
7A6O,A,B,von Willebrand factor,VHH81 Nanobody fragment
1GL4,A,B,NIDOGEN-1,BASEMENT MEMBRANE-SPECIFIC HEPARAN SULFATE PROTEOGLYCAN CORE PROTEIN
9IGO,A,B,Myeloblastin,CD177 antigen
7EOW,A,B,von Willebrand factor,caplacizumab
4PZ5,A,B,Fibronectin,Fibronectin-binding protein BBK32
2RKY,A,B,Fibronectin,Fibronectin-binding protein
1NPE,A,B,nidogen,Laminin gamma-1 chain
2RL0,A,C,Fibronectin,Fibronectin-binding protein
8PEQ,A,J,Fibronectin,Affilin variant Af2
3CAL,A,B,Fibronectin,peptide from Fibronectin-binding protein A
