pdb_id,chain_a,chain_b,molecule_a,molecule_b
5PA9,A,C,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAA,A,C,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAG,A,B,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAN,A,B,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAR,A,C,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAY,A,C,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PB2,A,C,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PB4,A,C,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PB5,A,B,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PB6,A,C,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAC,A,B,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAF,A,B,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAM,A,B,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAO,A,C,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAQ,A,B,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAS,A,C,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAU,A,C,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAX,A,C,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PB3,A,C,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAB,H,L,Coagulation factor VII heavy chain,Coagulation factor VII light chain
5PAE,A,B,Coagulation factor VII light chain,Coagulation factor VII heavy chain
5PAI,A,B,Coagulation factor VII light chain,Coagulation factor VII heavy chain
